,web,news,wiki_and_books,legal,dannet,conversation,social_media,all_domains
DOCS,8270,421,1709,2163,25,1649,554,15062
ENTS,9309,496,1156,1637,23,1286,329,14462
CARDINAL,1392,43,77,128,10,419,27,2096
DATE,1017,50,168,323,6,142,38,1756
EVENT,127,10,13,1,N/A,52,3,211
FACILITY,198,18,15,4,1,3,3,246
GPE,1063,85,167,73,3,166,34,1604
LANGUAGE,97,N/A,26,N/A,N/A,3,N/A,126
LAW,33,1,13,119,N/A,15,N/A,183
LOCATION,346,8,38,2,N/A,20,8,424
MONEY,587,15,N/A,85,N/A,3,24,714
NORP,229,26,59,72,N/A,83,4,495
ORDINAL,49,9,29,22,N/A,14,3,127
ORGANIZATION,1680,71,71,521,N/A,104,48,2507
PERCENT,112,12,4,13,N/A,5,N/A,148
PERSON,1164,120,158,239,3,224,81,2133
PRODUCT,705,2,5,10,N/A,3,36,763
QUANTITY,220,8,32,11,N/A,1,19,292
TIME,175,15,6,5,N/A,16,1,218
WORK OF ART,115,3,275,9,N/A,13,N/A,419
