,retsinformationdk,skat,retspraksis,hest,cc,adl,danavis,dannet,ep,ft,naat,opensub,spont,tv2r,wiki,wikibooks,wikisource
DOCS,747,364,579,439,6661,517,236,18,173,21,431,300,395,110,208,265,371
ENTS,400,379,513,270,7502,423,283,15,234,25,327,55,419,136,257,101,102
CARDINAL,34,38,23,17,1144,15,17,6,18,3,6,5,314,18,17,18,9
DATE,83,97,77,29,831,75,19,5,42,1,69,1,N/A,21,36,8,7
FACILITY,3,1,N/A,3,159,5,15,N/A,N/A,N/A,2,N/A,N/A,3,4,N/A,1
GPE,20,8,32,31,846,15,41,2,25,N/A,102,3,N/A,27,75,24,14
LAW,12,44,44,N/A,22,N/A,1,N/A,8,1,1,N/A,N/A,N/A,N/A,N/A,13
LOCATION,1,N/A,N/A,7,288,6,5,N/A,4,N/A,13,1,N/A,2,18,N/A,5
MONEY,4,21,37,18,472,N/A,10,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A
NORP,31,22,8,1,188,9,20,N/A,12,10,47,1,N/A,2,22,6,5
ORDINAL,4,5,8,2,43,3,9,N/A,N/A,N/A,N/A,2,9,N/A,5,2,12
ORGANIZATION,124,93,183,39,1303,10,37,N/A,59,4,24,N/A,N/A,24,9,24,15
PERSON,78,22,94,69,970,85,80,2,41,5,15,39,89,21,22,1,13
PRODUCT,1,9,N/A,33,581,N/A,1,N/A,N/A,N/A,2,1,N/A,1,1,2,N/A
WORK OF ART,5,1,N/A,N/A,92,192,2,N/A,8,N/A,2,2,N/A,1,15,5,6
EVENT,N/A,1,N/A,3,106,4,4,N/A,5,N/A,38,N/A,N/A,5,3,1,N/A
PERCENT,N/A,3,7,N/A,91,N/A,11,N/A,N/A,N/A,N/A,N/A,5,N/A,3,1,N/A
QUANTITY,N/A,9,N/A,17,188,N/A,4,N/A,1,N/A,N/A,N/A,N/A,2,15,5,N/A
TIME,N/A,5,N/A,1,144,1,7,N/A,8,1,6,N/A,1,6,4,N/A,1
LANGUAGE,N/A,N/A,N/A,N/A,34,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,8,4,1
