,CARDINAL,DATE,EVENT,FACILITY,GPE,LANGUAGE,LAW,LOCATION,MONEY,NORP,NOT TAGGED,ORDINAL,ORGANIZATION,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK OF ART
CARDINAL,1574,89,1,0,24,0,4,42,3,0,231,39,1,1,102,2,218,6,3
DATE,96,2642,6,0,0,0,1,0,2,4,782,24,2,0,1,6,155,76,9
EVENT,0,24,461,2,3,0,0,1,0,0,87,0,11,0,0,0,2,0,8
FACILITY,0,0,0,293,28,0,0,122,0,0,22,0,64,0,1,13,0,0,8
GPE,0,0,3,2,1951,0,0,43,0,23,36,0,55,0,0,0,0,0,11
LANGUAGE,0,0,0,0,1,43,0,0,0,14,92,0,1,0,0,0,0,0,0
LAW,156,2,4,0,0,0,622,0,1,0,333,5,2,0,5,1,0,0,0
LOCATION,0,0,1,12,357,0,0,331,0,4,39,0,4,0,1,0,0,0,5
MONEY,4,2,0,0,0,0,0,0,1842,0,18,0,0,12,2,0,18,0,0
NORP,0,0,0,0,9,2,1,1,0,698,109,0,66,0,6,2,0,0,9
NOT TAGGED,485,300,41,46,75,3,291,106,33,150,0,21,393,8,654,676,127,38,715
ORDINAL,8,1,1,0,0,0,0,0,0,1,29,126,0,0,0,0,1,0,1
ORGANIZATION,0,1,6,94,43,0,1,7,0,83,281,0,3246,0,21,614,4,0,10
PERCENT,3,0,0,0,0,0,0,0,1,0,21,0,0,328,0,0,1,0,0
PERSON,34,9,0,1,14,0,0,1,0,8,134,3,33,0,4750,11,14,4,86
PRODUCT,11,1,0,0,0,0,0,0,1,1,87,1,79,2,1,1572,0,0,1
QUANTITY,12,2,0,0,2,0,0,0,2,0,130,1,0,0,0,2,783,0,0
TIME,34,87,0,1,0,0,0,0,0,0,127,5,1,0,0,0,7,289,1
WORK OF ART,7,6,16,1,22,0,0,17,0,0,643,0,28,0,36,48,1,1,1612
