,CARDINAL,DATE,EVENT,FACILITY,GPE,LANGUAGE,LAW,LOCATION,MONEY,NORP,NOT TAGGED,ORDINAL,ORGANIZATION,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK OF ART
CARDINAL,262,3,0,0,0,0,4,0,0,0,2,2,0,0,0,0,2,0,0
DATE,2,562,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2,0,0
EVENT,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACILITY,0,0,0,124,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
GPE,0,0,0,0,251,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LANGUAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAW,0,0,0,0,0,0,289,0,0,0,80,0,0,0,0,0,0,0,0
LOCATION,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0
MONEY,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
NORP,0,3,0,0,0,0,0,0,0,407,26,1,0,0,0,0,0,0,0
NOT TAGGED,2,137,6,12,0,0,95,3,0,16,0,3,9,0,9,1,0,2,71
ORDINAL,2,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0
ORGANIZATION,0,0,0,0,0,0,0,0,0,0,21,0,530,0,0,6,0,0,1
PERCENT,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
PERSON,7,0,0,0,0,0,0,0,0,1,24,0,8,0,1561,0,0,0,0
PRODUCT,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,6,0,0,4
QUANTITY,5,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,123,0,0
TIME,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,34,0
WORK OF ART,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1516
