,0,1,2,3,4,5,6,7,8,9
CARDINAL,0.58,0.46,0.49,0.7,0.28,0.39,0.41,0.49,0.53,0.53
DATE,0.53,0.36,0.67,0.67,0.53,0.59,0.67,0.52,0.69,0.34
EVENT,0.65,0.1,0.51,0.56,0.65,0.66,0.62,0.61,0.35,0.23
FACILITY,0.0,0.11,0.0,0.0,0.3,0.39,0.36,0.31,0.36,0.11
GPE,0.91,0.9,0.86,0.9,0.93,0.91,0.8,0.87,0.84,0.86
LANGUAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAW,0.31,0.0,0.25,0.32,0.32,0.16,0.34,0.08,0.35,0.27
LOCATION,0.25,0.32,0.26,0.26,0.12,0.56,0.36,0.13,0.09,0.56
MONEY,0.76,0.0,0.76,0.78,0.76,0.76,0.76,0.76,0.76,0.0
NORP,0.62,0.63,0.62,0.61,0.54,0.61,0.19,0.53,0.59,0.52
ORDINAL,0.63,0.44,0.58,0.61,0.56,0.49,0.73,0.18,0.61,0.59
ORGANIZATION,0.82,0.68,0.76,0.83,0.55,0.79,0.54,0.81,0.72,0.49
PERCENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERSON,0.73,0.32,0.64,0.7,0.73,0.6,0.71,0.6,0.69,0.2
PRODUCT,0.0,0.0,0.23,0.1,0.0,0.08,0.39,0.15,0.33,0.14
QUANTITY,0.17,0.14,0.26,0.18,0.16,0.32,0.0,0.22,0.17,0.0
TIME,0.51,0.16,0.51,0.31,0.51,0.34,0.17,0.26,0.3,0.15
WORK OF ART,0.54,0.45,0.35,0.51,0.54,0.54,0.22,0.35,0.41,0.15
,,,,,,,,,,
