,1,2,3,4,5,6,7,8,9,10,rater_avg
1,1.0,0.79,0.7,0.9,0.82,0.88,0.66,0.72,0.72,0.75,0.77
2,0.79,1.0,0.69,0.77,0.76,0.77,0.58,0.69,0.7,0.77,0.72
3,0.7,0.69,1.0,0.69,0.66,0.66,0.71,0.76,0.72,0.82,0.71
4,0.9,0.77,0.69,1.0,0.8,0.85,0.65,0.72,0.77,0.74,0.76
5,0.82,0.76,0.66,0.8,1.0,0.8,0.62,0.7,0.67,0.78,0.73
6,0.88,0.77,0.66,0.85,0.8,1.0,0.62,0.69,0.69,0.74,0.74
7,0.66,0.58,0.71,0.65,0.62,0.62,1.0,0.72,0.76,0.81,0.68
8,0.72,0.69,0.76,0.72,0.7,0.69,0.72,1.0,0.74,0.73,0.72
9,0.72,0.7,0.72,0.77,0.67,0.69,0.76,0.74,1.0,0.72,0.72
10,0.75,0.77,0.82,0.74,0.78,0.74,0.81,0.73,0.72,1.0,0.76
