"","X","All domains combined","Conversation","Dannet","Legal","News","Social Media","Web","Wiki and Books"
"1","DOCS",15062,1649,"25","2163","421","554",8270,"1709"
"2","ENTS",14462,1286,"23","1637","496","329",9309,"1156"
"3","CARDINAL",2096,419,"10","128","43","27",1392,"77"
"4","DATE",1756,142,"6","323","50","38",1017,"168"
"5","EVENT",211,52,"N/A","1","10","3",127,"13"
"6","FACILITY",246,3,"1","4","18","3",198,"15"
"7","GPE",1604,166,"3","73","85","34",1063,"167"
"8","LANGUAGE",126,3,"N/A","N/A","N/A","N/A",97,"26"
"9","LAW",183,15,"N/A","119","1","N/A",33,"13"
"10","LOCATION",424,20,"N/A","2","8","8",346,"38"
"11","MONEY",714,3,"N/A","85","15","24",587,"N/A"
"12","NORP",495,83,"N/A","72","26","4",229,"59"
"13","ORDINAL",127,14,"N/A","22","9","3",49,"29"
"14","ORGANIZATION",2507,104,"N/A","521","71","48",1680,"71"
"15","PERCENT",148,5,"N/A","13","12","N/A",112,"4"
"16","PERSON",2133,224,"3","239","120","81",1164,"158"
"17","PRODUCT",763,3,"N/A","10","2","36",705,"5"
"18","QUANTITY",292,1,"N/A","11","8","19",220,"32"
"19","TIME",218,16,"N/A","5","15","1",175,"6"
"20","WORK OF ART",419,13,"N/A","9","3","N/A",115,"275"
