,Model,Domain,Tag,F1-score
890,da_dacy_large_ner_fine_grained,all_domains,CARDINAL,0.8736141906873615
896,da_dacy_large_ner_fine_grained,all_domains,DATE,0.8461538461538461
932,da_dacy_large_ner_fine_grained,all_domains,EVENT,0.6111111111111113
902,da_dacy_large_ner_fine_grained,all_domains,FACILITY,0.5454545454545454
893,da_dacy_large_ner_fine_grained,all_domains,GPE,0.8929503916449086
929,da_dacy_large_ner_fine_grained,all_domains,LANGUAGE,0.9019607843137255
908,da_dacy_large_ner_fine_grained,all_domains,LAW,0.6857142857142857
899,da_dacy_large_ner_fine_grained,all_domains,LOCATION,0.6333333333333334
920,da_dacy_large_ner_fine_grained,all_domains,MONEY,0.9933774834437086
887,da_dacy_large_ner_fine_grained,all_domains,NORP,0.7799999999999999
926,da_dacy_large_ner_fine_grained,all_domains,ORDINAL,0.6956521739130435
881,da_dacy_large_ner_fine_grained,all_domains,ORGANIZATION,0.8628762541806019
923,da_dacy_large_ner_fine_grained,all_domains,PERCENT,0.923076923076923
884,da_dacy_large_ner_fine_grained,all_domains,PERSON,0.8710601719197708
917,da_dacy_large_ner_fine_grained,all_domains,PRODUCT,0.6713286713286714
911,da_dacy_large_ner_fine_grained,all_domains,QUANTITY,0.38636363636363635
914,da_dacy_large_ner_fine_grained,all_domains,TIME,0.6428571428571429
905,da_dacy_large_ner_fine_grained,all_domains,WORK OF ART,0.49350649350649356
584,da_dacy_medium_ner_fine_grained,all_domains,CARDINAL,0.7814569536423841
590,da_dacy_medium_ner_fine_grained,all_domains,DATE,0.8588235294117648
626,da_dacy_medium_ner_fine_grained,all_domains,EVENT,0.5714285714285715
599,da_dacy_medium_ner_fine_grained,all_domains,FACILITY,0.5333333333333333
587,da_dacy_medium_ner_fine_grained,all_domains,GPE,0.8384074941451991
620,da_dacy_medium_ner_fine_grained,all_domains,LANGUAGE,0.4864864864864865
623,da_dacy_medium_ner_fine_grained,all_domains,LAW,0.6250000000000001
596,da_dacy_medium_ner_fine_grained,all_domains,LOCATION,0.7368421052631577
608,da_dacy_medium_ner_fine_grained,all_domains,MONEY,1.0
581,da_dacy_medium_ner_fine_grained,all_domains,NORP,0.8865979381443299
617,da_dacy_medium_ner_fine_grained,all_domains,ORDINAL,0.7000000000000001
575,da_dacy_medium_ner_fine_grained,all_domains,ORGANIZATION,0.8514851485148515
611,da_dacy_medium_ner_fine_grained,all_domains,PERCENT,0.9600000000000001
578,da_dacy_medium_ner_fine_grained,all_domains,PERSON,0.872093023255814
593,da_dacy_medium_ner_fine_grained,all_domains,PRODUCT,0.6351351351351351
614,da_dacy_medium_ner_fine_grained,all_domains,QUANTITY,0.6538461538461539
605,da_dacy_medium_ner_fine_grained,all_domains,TIME,0.5714285714285715
602,da_dacy_medium_ner_fine_grained,all_domains,WORK OF ART,0.6391752577319587
269,da_dacy_small_ner_fine_grained,all_domains,CARDINAL,0.8868778280542987
275,da_dacy_small_ner_fine_grained,all_domains,DATE,0.8674698795180722
311,da_dacy_small_ner_fine_grained,all_domains,EVENT,0.4000000000000001
281,da_dacy_small_ner_fine_grained,all_domains,FACILITY,0.4680851063829788
272,da_dacy_small_ner_fine_grained,all_domains,GPE,0.794392523364486
305,da_dacy_small_ner_fine_grained,all_domains,LANGUAGE,0.19354838709677416
308,da_dacy_small_ner_fine_grained,all_domains,LAW,0.606060606060606
278,da_dacy_small_ner_fine_grained,all_domains,LOCATION,0.5806451612903226
293,da_dacy_small_ner_fine_grained,all_domains,MONEY,0.9473684210526315
266,da_dacy_small_ner_fine_grained,all_domains,NORP,0.7850467289719627
299,da_dacy_small_ner_fine_grained,all_domains,ORDINAL,0.7272727272727273
260,da_dacy_small_ner_fine_grained,all_domains,ORGANIZATION,0.7809847198641766
296,da_dacy_small_ner_fine_grained,all_domains,PERCENT,0.9600000000000001
263,da_dacy_small_ner_fine_grained,all_domains,PERSON,0.8333333333333334
290,da_dacy_small_ner_fine_grained,all_domains,PRODUCT,0.5263157894736842
302,da_dacy_small_ner_fine_grained,all_domains,QUANTITY,0.7083333333333333
287,da_dacy_small_ner_fine_grained,all_domains,TIME,0.7096774193548386
284,da_dacy_small_ner_fine_grained,all_domains,WORK OF ART,0.4878048780487805
