,Model,Domain,Tag,F1-score
209,da_core_news_lg,all_domains,LOCATION,0.6289592760180994
206,da_core_news_lg,all_domains,ORGANIZATION,0.28076923076923077
203,da_core_news_lg,all_domains,PERSON,0.6074498567335245
140,da_core_news_md,all_domains,LOCATION,0.6487695749440716
134,da_core_news_md,all_domains,ORGANIZATION,0.3104693140794224
137,da_core_news_md,all_domains,PERSON,0.5786516853932584
62,da_core_news_sm,all_domains,LOCATION,0.4353448275862069
65,da_core_news_sm,all_domains,ORGANIZATION,0.22476190476190477
68,da_core_news_sm,all_domains,PERSON,0.31011235955056177
422,da_dacy_large_ner_fine_grained,all_domains,LOCATION,0.8829568788501028
416,da_dacy_large_ner_fine_grained,all_domains,ORGANIZATION,0.8628762541806019
419,da_dacy_large_ner_fine_grained,all_domains,PERSON,0.8710601719197708
704,da_dacy_large_trf,all_domains,LOCATION,0.8347107438016529
701,da_dacy_large_trf,all_domains,ORGANIZATION,0.5009560229445507
698,da_dacy_large_trf,all_domains,PERSON,0.7350427350427351
350,da_dacy_medium_ner_fine_grained,all_domains,LOCATION,0.8317580340264651
344,da_dacy_medium_ner_fine_grained,all_domains,ORGANIZATION,0.8514851485148515
347,da_dacy_medium_ner_fine_grained,all_domains,PERSON,0.872093023255814
632,da_dacy_medium_trf,all_domains,LOCATION,0.7389558232931727
635,da_dacy_medium_trf,all_domains,ORGANIZATION,0.47686832740213525
629,da_dacy_medium_trf,all_domains,PERSON,0.7028571428571427
278,da_dacy_small_ner_fine_grained,all_domains,LOCATION,0.7932960893854748
272,da_dacy_small_ner_fine_grained,all_domains,ORGANIZATION,0.7809847198641766
275,da_dacy_small_ner_fine_grained,all_domains,PERSON,0.8333333333333334
563,da_dacy_small_trf,all_domains,LOCATION,0.6666666666666667
557,da_dacy_small_trf,all_domains,ORGANIZATION,0.37751004016064266
560,da_dacy_small_trf,all_domains,PERSON,0.5149700598802395
491,saattrupdan/nbailab-base-ner-scandi,all_domains,LOCATION,0.7929515418502203
488,saattrupdan/nbailab-base-ner-scandi,all_domains,ORGANIZATION,0.4567901234567901
485,saattrupdan/nbailab-base-ner-scandi,all_domains,PERSON,0.6993865030674846
